"name","treatment","estimate","se","lwr","upr","p","sig.code"
"a.Ba.Ba","AMF","-0.0888948298440784","0.0112631963016518","-0.107926020376676","-0.0638911068009962","0","***"
"a.Ba.Ba","AMFEMF","-0.0914858787885497","0.0129064120506963","-0.111961851450844","-0.0625278689811525","0","***"
"a.Ba.Ba","EMF","-0.103357607226903","0.00389893210722804","-0.109377725333861","-0.0941081128722224","0","***"
"a.Ba.Ba","Sterile","-0.102197974906369","0.00580781051915575","-0.11118233496777","-0.0887418404669018","0","***"
"a.Ba.Bi","AMF","-0.0362660848263894","0.0196357170982424","-0.0670355025523821","0.0092177423178069","0.1072",""
"a.Ba.Bi","AMFEMF","-0.0444243005366107","0.0176201983041191","-0.0710909387084775","-0.00164737460337722","0.0426","*"
"a.Ba.Bi","EMF","-0.111880227100254","0.00778718987196191","-0.12231898240896","-0.0938255434369437","0","***"
"a.Ba.Bi","Sterile","-0.0993626611339763","0.00704782182598553","-0.110176986301555","-0.0828273629303985","0","***"
"a.Bi.Ba","AMF","-0.079011323650828","0.0102007855274979","-0.0939891646721422","-0.0543433594489611","0","***"
"a.Bi.Ba","AMFEMF","-0.0801030394064566","0.0217539433139077","-0.108015419037086","-0.0279051187353567","0.008","**"
"a.Bi.Ba","EMF","-0.0530260357992239","0.0192213024638535","-0.082254852303423","-0.00704953221277072","0.0292","*"
"a.Bi.Ba","Sterile","-0.0618592041329555","0.0156542421813925","-0.0854478853554651","-0.0243777952380588","0.0042","**"
"a.Bi.Bi","AMF","-0.0601806966902724","0.0167551200441134","-0.0836846120420771","-0.0190781694976355","0.0076","**"
"a.Bi.Bi","AMFEMF","-0.055083789452922","0.017490077459961","-0.081173060247968","-0.0131696308650908","0.0162","*"
"a.Bi.Bi","EMF","-0.0665907731716969","0.020134967785535","-0.0985061347614849","-0.0197842149877483","0.0096","**"
"a.Bi.Bi","Sterile","-0.059076969469384","0.0199411583180758","-0.0884663345400717","-0.0109219640401465","0.0202","*"
